Year,Season,ProvinceName,DistrictName,CropName,Avg_Area_ha,Total_Production_Kg,Avg_Yield_Kg_per_Ha,Num_Observations
2020,SeasonA,Southern Province,Nyanza,Cassava,0.018108705058693886,1033.0,5633.917854051287,12
2020,SeasonA,Southern Province,Nyanza,Irish potatoes,0.07501029968261719,11730.0,14220.603386743323,9
2020,SeasonA,Southern Province,Nyaruguru,Beans,0.046993374824523926,3558.0,7729.1849692736505,16
2020,SeasonA,Southern Province,Nyaruguru,Cassava,0.027972731739282608,3181.0,6748.84577393492,16
2020,SeasonA,Southern Province,Nyaruguru,Irish potatoes,0.168529212474823,36744.0,13690.86442469835,13
2020,SeasonA,Southern Province,Ruhango,Beans,0.03060144931077957,4723.0,8989.872256865143,15
2020,SeasonA,Southern Province,Ruhango,Cassava,0.043042320758104324,7127.0,7781.790224023269,26
2020,SeasonA,Southern Province,Ruhango,Irish potatoes,0.06148932874202728,10565.0,13750.603424509549,11
2020,SeasonA,Western Province,Karongi,Beans,0.050477251410484314,5917.0,11502.703650108062,16
2020,SeasonA,Western Province,Karongi,Cassava,0.019505614414811134,4312.0,7541.356418239336,34
2020,SeasonA,Western Province,Karongi,Irish potatoes,0.04226488247513771,2544.0,7606.773218640956,7
2020,SeasonA,Western Province,Ngororero,Beans,0.051264479756355286,6429.0,8870.091892835415,22
2020,SeasonA,Western Province,Ngororero,Cassava,0.025449762120842934,7837.0,7480.781526067618,39
2020,SeasonA,Western Province,Ngororero,Irish potatoes,0.11152992397546768,9470.0,11869.321673390845,5
2020,SeasonA,Western Province,Nyabihu,Beans,0.12402741611003876,68646.0,11765.97289633817,41
2020,SeasonA,Western Province,Nyabihu,Cassava,0.06477007269859314,638.0,4184.328760088939,2
2020,SeasonA,Western Province,Nyabihu,Irish potatoes,0.41694092750549316,88486.0,15740.48434036487,12
2020,SeasonA,Western Province,Nyamasheke,Beans,0.19712340831756592,31858.0,6747.230905515211,49
2020,SeasonA,Western Province,Nyamasheke,Cassava,0.026811810210347176,10014.0,5539.592890561586,92
2020,SeasonA,Western Province,Nyamasheke,Irish potatoes,0.02697252854704857,80.0,2965.980733339659,1
2020,SeasonA,Western Province,Rubavu,Beans,0.16817916929721832,61764.0,19730.88000781699,17
2020,SeasonA,Western Province,Rubavu,Irish potatoes,0.18370339274406433,1330.0,4758.00528352724,2
2020,SeasonA,Western Province,Rusizi,Beans,0.02423938550055027,4619.0,10549.532016192308,20
2020,SeasonA,Western Province,Rusizi,Cassava,0.029986368492245674,9269.0,5869.451802183741,69
2020,SeasonA,Western Province,Rusizi,Irish potatoes,0.01522254291921854,674.0,14766.147997508027,3
2020,SeasonA,Western Province,Rutsiro,Beans,0.03862951695919037,4862.0,6384.003038530089,18
2020,SeasonA,Western Province,Rutsiro,Cassava,0.03692455217242241,21102.0,5462.217944402261,96
2020,SeasonA,Western Province,Rutsiro,Irish potatoes,0.13444851338863373,4600.0,6993.173948682809,6
2020,SeasonB,Eastern Province,Bugesera,Beans,0.6985244154930115,294887.24,9627.11797276652,68
2020,SeasonB,Eastern Province,Bugesera,Cassava,0.04574863612651825,11550.9,6577.109523564315,39
2020,SeasonB,Eastern Province,Bugesera,Irish potatoes,4.189164638519287,1422320.12,13951.959187462078,27
2020,SeasonB,Eastern Province,Gatsibo,Beans,1.4484316110610962,177480.43,6613.986532421695,26
2020,SeasonB,Eastern Province,Gatsibo,Cassava,0.08589287847280502,1577.43,4456.423581154376,6
2020,SeasonB,Eastern Province,Gatsibo,Irish potatoes,1.7399864196777344,111106.13,11350.883341338855,10
2020,SeasonB,Eastern Province,Kayonza,Beans,0.09926070272922516,8000.87,7845.621668619836,13
2020,SeasonB,Eastern Province,Kayonza,Cassava,0.025533687323331833,5332.1,8534.478286802945,26
2020,SeasonB,Eastern Province,Kayonza,Irish potatoes,1.3932316303253174,125625.0,13801.282546315186,7
2020,SeasonB,Eastern Province,Kirehe,Beans,0.931238055229187,113252.13,7266.413750983556,61
2020,SeasonB,Eastern Province,Kirehe,Cassava,0.04848949611186981,4327.81,6258.977258777886,24
2020,SeasonB,Eastern Province,Kirehe,Irish potatoes,1.7417161464691162,50200.0,16199.09745750728,4
2020,SeasonB,Eastern Province,Ngoma,Beans,0.9906096458435059,194575.84,10512.300667560752,19
2020,SeasonB,Eastern Province,Ngoma,Cassava,0.03261646255850792,12463.73,4911.32763546009,96
2020,SeasonB,Eastern Province,Ngoma,Irish potatoes,0.15579411387443542,2028.21,13018.527783627731,1
2020,SeasonB,Eastern Province,Nyagatare,Beans,2.0303750038146973,278636.73,10096.362720644478,20
2020,SeasonB,Eastern Province,Nyagatare,Cassava,0.033463526517152786,2025.17,3852.1363321777744,18
2020,SeasonB,Eastern Province,Nyagatare,Irish potatoes,0.9561967849731445,67995.01000000001,8775.867529971998,8
2020,SeasonB,Eastern Province,Rwamagana,Beans,0.6363590359687805,36381.21,5050.620241363485,57
2020,SeasonB,Eastern Province,Rwamagana,Cassava,0.02115059830248356,3419.5,7786.887318510823,24
2020,SeasonB,Eastern Province,Rwamagana,Irish potatoes,16.237903594970703,3533917.1,12004.862414015177,22
2020,SeasonB,Kigali City,Gasabo,Beans,0.1406579315662384,35331.27,9930.472074711768,32
2020,SeasonB,Kigali City,Gasabo,Cassava,0.01752200350165367,612.64,2243.7012880439565,17
