Year,ProvinceName,DistrictName,CropName,Total_Weighted_Consumption_Qty_Kg,Total_Weighted_Consumption_Value_Rwf,Num_Households_Observed
2017,Northern Province,Rulindo,Beans,664541436.2960815,290326.58309936523,480
2017,Northern Province,Rulindo,Cassava,1011977957.4867249,760612.5942993164,480
2017,Northern Province,Rulindo,Irish potatoes,22925491.77017212,65127.55546569824,480
2017,Northern Province,Rulindo,Maize,148693756.81976318,335326.9607696533,480
2017,Northern Province,Rulindo,Tomatoes,806277.9998779297,645.0223999023438,480
2017,Southern Province,Gisagara,Beans,420019560.1585388,212289.07335662842,480
2017,Southern Province,Gisagara,Cassava,638901671.6347122,645020.8325881958,480
2017,Southern Province,Gisagara,Irish potatoes,32152675.717926025,40587.78755187988,480
2017,Southern Province,Gisagara,Maize,109658964.73453522,288004.4298667908,480
2017,Southern Province,Gisagara,Tomatoes,721595.3369140625,721.5953369140625,480
2017,Southern Province,Huye,Beans,439557072.6654053,186357.35231018066,480
2017,Southern Province,Huye,Cassava,727910305.5984497,606243.1034622192,480
2017,Southern Province,Huye,Irish potatoes,18769508.303833008,25559.113067626953,480
2017,Southern Province,Huye,Maize,186540880.38864136,357868.16233062744,480
2017,Southern Province,Huye,Tomatoes,1313169.090270996,1516.825942993164,480
2017,Southern Province,Kamonyi,Beans,618405599.861908,189217.75538635254,480
2017,Southern Province,Kamonyi,Cassava,1229836204.3632507,724835.0815124512,480
2017,Southern Province,Kamonyi,Irish potatoes,38220153.54309082,42790.13838195801,480
2017,Southern Province,Kamonyi,Maize,210754273.44665527,331348.53578186035,480
2017,Southern Province,Kamonyi,Tomatoes,0.0,0.0,480
2017,Southern Province,Muhanga,Beans,568298649.8695374,162358.46369171143,480
2017,Southern Province,Muhanga,Cassava,999044492.2199249,567807.2760848999,480
2017,Southern Province,Muhanga,Irish potatoes,41803410.804748535,60120.1806640625,480
2017,Southern Province,Muhanga,Maize,162350712.25357056,285226.8333892822,480
2017,Southern Province,Muhanga,Tomatoes,5496087.57019043,1650.1757202148438,480
2017,Southern Province,Nyamagabe,Beans,463746192.3187256,169413.43013000488,480
2017,Southern Province,Nyamagabe,Cassava,790682024.2126465,572819.4665985107,480
2017,Southern Province,Nyamagabe,Irish potatoes,34063348.00262451,55868.67057800293,480
2017,Southern Province,Nyamagabe,Maize,143805425.0868225,297339.0143890381,480
2017,Southern Province,Nyamagabe,Tomatoes,0.0,0.0,480
2017,Southern Province,Nyanza,Beans,564729695.0035095,173650.93632507324,480
2017,Southern Province,Nyanza,Cassava,885663449.0016174,692982.8140258789,480
2017,Southern Province,Nyanza,Irish potatoes,49347312.9776001,97539.76220703125,480
