Season,ProvinceName,DistrictName,CropName,Avg_Area_ha,Total_Production_Kg,Avg_Yield_Kg_per_Ha,Num_Observations
SeasonA,Western Province,Unknown District,Beans,0.13290044670391798,1050772.0,6970.7589182417805,931
SeasonA,Western Province,Unknown District,Cassava,0.15281998119457346,25446.0,354.99319343025076,555
SeasonA,Western Province,Unknown District,Irish potatoes,0.09657938853296741,48957.0,544.0356748689051,1160
SeasonA,Western Province,Unknown District,Maize,0.13778653122942108,180029.0,780.912699484283,1305
SeasonA,Western Province,Unknown District,Tomatoes,0.09538855741492873,4057.0,238.13056089397,239
SeasonB,Eastern Province,Unknown District,Beans,0.3310512709787531,354029.0,2340.8100282953988,623
SeasonB,Eastern Province,Unknown District,Cassava,0.7329140347360229,738549.0,433.9042850744957,2500
SeasonB,Eastern Province,Unknown District,Irish potatoes,0.23700858086156482,34535.0,430.97664165943905,393
SeasonB,Eastern Province,Unknown District,Maize,1.315896396302706,6569511.0,586.3972616992068,1721
SeasonB,Eastern Province,Unknown District,Tomatoes,5.51184227176146,1087745.0,365.168792594167,176
SeasonB,Kigali City,Gasabo,Beans,0.22158258031436376,38216.0,2239.690916015034,112
SeasonB,Kigali City,Gasabo,Cassava,0.22958875215773616,9302.0,315.9096647313545,149
SeasonB,Kigali City,Gasabo,Irish potatoes,0.10023457344902886,589.0,403.80824861543755,18
SeasonB,Kigali City,Gasabo,Maize,0.36650015598065927,49900.0,409.3544978485263,132
SeasonB,Kigali City,Gasabo,Tomatoes,0.511017403385557,4388.0,232.57927984177275,29
SeasonB,Kigali City,Kicukiro,Beans,0.22677283020019534,10625.0,5057.569274577639,9
SeasonB,Kigali City,Kicukiro,Cassava,0.5325573299549244,33787.0,400.2123554918261,108
SeasonB,Kigali City,Kicukiro,Irish potatoes,0.1127283172607422,77.0,474.590631901304,2
SeasonB,Kigali City,Kicukiro,Maize,0.24996488756153679,4585.0,295.37735255977185,73
SeasonB,Kigali City,Kicukiro,Tomatoes,0.6172844062805176,1935.0,447.60831006847536,10
SeasonB,Kigali City,Nyarugenge,Beans,0.14069773999382468,6766.0,1981.9785610302886,34
SeasonB,Kigali City,Nyarugenge,Cassava,0.12245965612905997,4102.0,474.90523671793693,81
SeasonB,Kigali City,Nyarugenge,Irish potatoes,0.24445921020507813,255.0,307.80350600046086,6
SeasonB,Kigali City,Nyarugenge,Maize,0.1187734497918023,1449.0,333.1918323801248,45
SeasonB,Kigali City,Nyarugenge,Tomatoes,0.11670854932996962,433.0,428.57007306561536,9
SeasonB,Northern Province,Unknown District,Beans,0.17763760150381236,1001438.0,4657.27256623012,975
SeasonB,Northern Province,Unknown District,Cassava,0.11585732635215476,8548.0,418.2559679992815,216
SeasonB,Northern Province,Unknown District,Irish potatoes,0.10581617931910924,76575.0,818.5275985340543,945
SeasonB,Northern Province,Unknown District,Maize,0.13617933844729407,54011.0,489.5923344852231,386
SeasonB,Northern Province,Unknown District,Tomatoes,0.10931146314040474,1384.0,279.5853110934158,46
SeasonB,Southern Province,Gisagara,Beans,0.09482377336519258,20954.0,2997.5819884893003,111
SeasonB,Southern Province,Gisagara,Cassava,0.1220095182625192,10563.0,339.63439701062447,305
SeasonB,Southern Province,Gisagara,Irish potatoes,0.1259177745075969,2071.0,273.61593388645736,77
SeasonB,Southern Province,Gisagara,Maize,2.1653443521875535,563529.0,246.58750883919282,137
SeasonB,Southern Province,Gisagara,Tomatoes,0.10547748430887859,2385.0,387.3265983299359,60
SeasonB,Southern Province,Huye,Beans,0.07043945710725873,21112.0,3875.2758600682946,107
SeasonB,Southern Province,Huye,Cassava,0.16789591904746162,7308.0,409.5171833232711,144
SeasonB,Southern Province,Huye,Irish potatoes,0.07590184344667376,2330.0,293.2764040587222,132
SeasonB,Southern Province,Huye,Maize,0.6599769034856482,51664.0,214.3330816581301,79
SeasonB,Southern Province,Huye,Tomatoes,0.09001632783916635,848.0,193.40541635927622,71
SeasonB,Southern Province,Muhanga,Beans,0.17011840569194236,253863.0,3330.2043639693447,199
SeasonB,Southern Province,Muhanga,Cassava,0.1314785410563151,2241.0,221.0834591784443,99
SeasonB,Southern Province,Muhanga,Irish potatoes,0.14725748325636406,4354.0,360.79058850497876,119
SeasonB,Southern Province,Muhanga,Maize,0.1156938153530689,1168.0,297.10959700089046,47
SeasonB,Southern Province,Muhanga,Tomatoes,0.12372494140457321,1225.0,166.24647771444504,91
SeasonB,Southern Province,Nyamagabe,Beans,0.26979148697020516,283951.0,4824.937315317404,189
SeasonB,Southern Province,Nyamagabe,Cassava,0.05367867882138207,221.0,253.59538971718345,21
SeasonB,Southern Province,Nyamagabe,Irish potatoes,0.23387045144526916,4074.0,356.63165502823296,169
SeasonB,Southern Province,Nyamagabe,Maize,2.5885649303783067,164810.0,535.7338655813545,33
SeasonB,Southern Province,Nyamagabe,Tomatoes,0.05007092999267578,193.0,194.01679275688798,25
SeasonB,Southern Province,Nyanza,Beans,0.14739680997887436,23210.0,2731.146023936424,98
SeasonB,Southern Province,Nyanza,Cassava,0.21048328081766762,15518.0,313.6584063041659,276
SeasonB,Southern Province,Nyanza,Irish potatoes,0.13867251289273486,2232.0,236.7010830343302,81
SeasonB,Southern Province,Nyanza,Maize,0.1965506590491847,7456.0,388.6435915284356,152
SeasonB,Southern Province,Nyanza,Tomatoes,0.1401946305687748,1877.0,221.61811656150533,67
SeasonB,Southern Province,Nyaruguru,Beans,1.4387174384548551,4009623.0,5121.192193160129,168
SeasonB,Southern Province,Nyaruguru,Cassava,0.07040356616973877,604.0,302.05835287719293,24
SeasonB,Southern Province,Nyaruguru,Irish potatoes,0.09203040899320412,5787.0,512.204347244342,131
SeasonB,Southern Province,Nyaruguru,Maize,0.0914343095779419,1125.0,718.9085676497813,8
SeasonB,Southern Province,Nyaruguru,Tomatoes,0.13069406341552733,885.0,417.0901529195477,15
SeasonB,Southern Province,Ruhango,Beans,0.06930741113836116,14964.0,2758.788611928481,110
SeasonB,Southern Province,Ruhango,Cassava,0.17948846367055718,17178.0,504.0492213290549,176
SeasonB,Southern Province,Ruhango,Irish potatoes,0.11137640566271405,2414.0,343.6293445820833,86
SeasonB,Southern Province,Ruhango,Maize,1.2869511224822998,135883.0,370.9006023013368,50
SeasonB,Southern Province,Ruhango,Tomatoes,0.10307948651033289,2398.0,269.07826876113825,102
SeasonB,Southern Province,Unknown District,Beans,0.09798375394060894,34094.0,2838.261786194209,143
SeasonB,Southern Province,Unknown District,Cassava,0.11477950898442403,6875.0,287.7313622347622,249
SeasonB,Southern Province,Unknown District,Irish potatoes,0.0966303935623169,1336.0,229.28694505394952,80
SeasonB,Southern Province,Unknown District,Maize,0.49597976502595126,223947.0,375.2159686175352,135
SeasonB,Southern Province,Unknown District,Tomatoes,0.11588922531750737,2572.0,258.65900374482146,98
SeasonB,Western Province,Unknown District,Beans,0.11535173619090508,758902.0,4924.250235118298,1188
SeasonB,Western Province,Unknown District,Cassava,0.1670002807541084,28167.0,383.392813707239,401
SeasonB,Western Province,Unknown District,Irish potatoes,0.10071013917922975,37704.0,487.50781641647455,968
SeasonB,Western Province,Unknown District,Maize,0.1377758349665889,57276.0,620.8405623698857,459
SeasonB,Western Province,Unknown District,Tomatoes,0.11281249429219986,6457.0,222.96027540781085,241
SeasonC,Eastern Province,Unknown District,Beans,0.1046761991084507,45931.0,4451.120419894582,142
SeasonC,Eastern Province,Unknown District,Cassava,0.19864008872647057,8635.0,730.4190115895957,68
SeasonC,Eastern Province,Unknown District,Irish potatoes,0.0811714604,15.0,184.7940141286407,1
SeasonC,Eastern Province,Unknown District,Tomatoes,0.11365853514615386,346.0,229.98964133098656,13
SeasonC,Kigali City,Gasabo,Beans,0.2613392039,408.0,908.7455648121842,2
SeasonC,Kigali City,Kicukiro,Beans,0.09198031565625,3088.0,3448.2624979526668,16
SeasonC,Kigali City,Kicukiro,Cassava,0.08576869435,1208.0,879.1779928836854,16
SeasonC,Kigali City,Kicukiro,Tomatoes,0.0404509233,55.0,942.9448646367499,2
SeasonC,Kigali City,Nyarugenge,Beans,0.06166120553076923,2207.0,3405.0093363938813,13
SeasonC,Kigali City,Nyarugenge,Cassava,0.093750604275,469.0,654.1019652435626,8
SeasonC,Kigali City,Nyarugenge,Tomatoes,0.10736802923,312.0,337.5897836541768,10
